TIME OCC,AREA,AREA NAME,Crm Cd Desc,Premis Desc,Status,Year,Month,Day,Hour,DateTime
930,7,Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",DRIVEWAY,IC,2020,1,7,9,2020-01-07 09:00:00
1010,11,Northeast,THEFT PLAIN - PETTY ($950 & UNDER),DRUG STORE,IC,2020,1,7,10,2020-01-07 10:00:00
1130,8,West LA,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,7,11,2020-01-07 11:00:00
1200,2,Rampart,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,7,12,2020-01-07 12:00:00
1200,9,Van Nuys,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",APARTMENT/CONDO COMMON LAUNDRY ROOM,IC,2020,1,7,12,2020-01-07 12:00:00
1200,7,Wilshire,VEHICLE - STOLEN,STREET,IC,2020,1,7,12,2020-01-07 12:00:00
1245,11,Northeast,DISTURBING THE PEACE,STREET,AO,2020,1,7,12,2020-01-07 12:00:00
1400,7,Wilshire,EXTORTION,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,7,14,2020-01-07 14:00:00
1500,2,Rampart,VEHICLE - STOLEN,STREET,AA,2020,1,7,15,2020-01-07 15:00:00
1530,4,Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS,IC,2020,1,7,15,2020-01-07 15:00:00
1540,2,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER RESIDENCE,IC,2020,1,7,15,2020-01-07 15:00:00
1700,11,Northeast,BURGLARY,OTHER BUSINESS,IC,2020,1,7,17,2020-01-07 17:00:00
1710,8,West LA,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT,AA,2020,1,7,17,2020-01-07 17:00:00
1720,11,Northeast,ATTEMPTED ROBBERY,STREET,IC,2020,1,7,17,2020-01-07 17:00:00
1800,7,Wilshire,CHILD ANNOYING (17YRS & UNDER),SINGLE FAMILY DWELLING,AA,2020,1,7,18,2020-01-07 18:00:00
1800,1,Central,BURGLARY FROM VEHICLE,TRANSPORTATION FACILITY (AIRPORT),IC,2020,1,7,18,2020-01-07 18:00:00
1830,1,Central,BURGLARY FROM VEHICLE,STREET,IC,2020,1,7,18,2020-01-07 18:00:00
1855,2,Rampart,ATTEMPTED ROBBERY,STREET,AA,2020,1,7,18,2020-01-07 18:00:00
1900,6,Hollywood,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,7,19,2020-01-07 19:00:00
1900,12,77th Street,VEHICLE - STOLEN,STREET,IC,2020,1,7,19,2020-01-07 19:00:00
1945,7,Wilshire,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),THE BEVERLY CENTER,IC,2020,1,7,19,2020-01-07 19:00:00
2100,7,Wilshire,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING,AO,2020,1,7,21,2020-01-07 21:00:00
