DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201218738,07/21/2020 12:00:00 AM,07/21/2020 12:00:00 AM,1750,12,77th Street,1251,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,59,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,3100 W  78TH                         ST,,33.9691,-118.3265
200808741,04/27/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1900,08,West LA,0826,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,100 S  WESTGATE                     AV,,34.0629,-118.4728
200710996,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1315,07,Wilshire,0705,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,30,F,W,210,RESTAURANT/FAST FOOD,511,VERBAL THREAT,AO,Adult Other,930,,,,7200 W  MELROSE                      AV,,34.0835,-118.3462
201115112,10/26/2020 12:00:00 AM,10/24/2020 12:00:00 AM,1800,11,Northeast,1173,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2100    ALLESANDRO                   ST,,34.0924,-118.2568
201108692,04/24/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1500,11,Northeast,1101,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0446 0400 1601 2004 1218 0432 1814,40,F,W,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,5100    ZOO                          DR,,34.1534,-118.3097
200116512,08/17/2020 12:00:00 AM,08/11/2020 12:00:00 AM,1657,01,Central,0121,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 N  FREMONT                      AV,,34.0584,-118.2531
201107660,03/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,0910,11,Northeast,1181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0394 0344,35,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,1300 N  BENTON                       WY,,34.082,-118.2694
201307831,03/09/2020 12:00:00 AM,03/09/2020 12:00:00 AM,1000,13,Newton,1371,1,310,BURGLARY,0358 0344,40,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,100 W  57TH                         ST,,33.9906,-118.2739
200500566,02/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,0330,05,Harbor,0565,1,761,BRANDISH WEAPON,0443 1822 0319 0334 0416 1402 2004,35,M,W,108,PARKING LOT,304,CLUB/BAT,AO,Adult Other,761,998,,,800 W  9TH                          ST,,33.7361,-118.2946
200712725,08/13/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1500,07,Wilshire,0721,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0344,65,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,331,,,,100 S  CLARK                        DR,,34.0736,-118.3848
200411904,08/19/2020 12:00:00 AM,08/19/2020 12:00:00 AM,1345,04,Hollenbeck,0477,2,624,BATTERY - SIMPLE ASSAULT,0446,43,M,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,2900    WHITTIER                     BL,,34.0317,-118.2097
200815772,10/27/2020 12:00:00 AM,10/25/2020 12:00:00 AM,1930,08,West LA,0855,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1400    VETERAN                      AV,,34.0517,-118.442
201006193,02/19/2020 12:00:00 AM,02/19/2020 12:00:00 AM,0745,10,West Valley,1063,2,901,VIOLATION OF RESTRAINING ORDER,2038 0913 0361,23,F,H,102,SIDEWALK,,,AO,Adult Other,901,,,,18500    CLARK                        ST,,34.1704,-118.536
